"ATTACHMENTS","إرفاق ملفات"
"Add Time Slots","إضافة فترة زمنية"
"{0} Serial Numbers required for Item {1}. You have provided {2}.","{0} الرقم التسلسلي مطلوب للصنف {1}. لقد قدمت {2}."
"Current Valuation Rate","سعر التقييم الحالي"
"Number of root accounts cannot be less than 4","لا يمكن أن يكون عدد حسابات الجذر أقل من 4"
"Advance","مقدما"
"GoCardless payment gateway settings","إعدادات بوابة الدفع GoCardless"
"Exchange Gain/Loss","أرباح / خسائر الناتجة عن صرف العملة"
"Lost Reason","فقد السبب"
"Enable Amazon","تمكين الأمازون"
"Row #{0}: Account {1} does not belong to company {2}","الصف # {0}: الحساب {1} لا ينتمي إلى الشركة {2}"
"Unable to find DocType {0}","تعذر العثور على نوع الملف {0}"
"New Address","عنوان جديد"
"Sample Size","حجم العينة"
"Please enter Receipt Document","الرجاء إدخال الوثيقة إيصال"
"All items have already been invoiced","كل الأصناف قد تم فوترتها من قبل"
"Leaves Taken","الإجازات المخوذة"
"Please specify a valid 'From Case No.'","الرجاء تحديد صالح &#39"
"Total allocated leaves are more days than maximum allocation of {0} leave type for employee {1} in the period","إجمالي الإجازات المخصصة هي أيام أكثر من التخصيص الأقصى لنوع الإجازات {0} للموظف {1} في الفترة"
"Branch","فرع"
"Other outward supplies(Nil rated,Exempted)","اللوازم الخارجية الأخرى (بدون تقييم ، معفاة)"
"Ca/(K+Ca+Mg)","كاليفورنيا / (K + الكالسيوم + المغنيسيوم)"
"Fulfillment User","وفاء المستخدم"
"Printing and Branding","الطباعة و العلامات التجارية"
"Total Monthly Sales","إجمالي المبيعات الشهرية"
"Enrollment","تسجيل"
"Subscription Plans","خطط الاشتراك"
"Weather","طقس"
"Actual Quantity","الكمية الفعلية"
"مثال:شحن اليوم التالي","example: Next Day Shipping"
"Serial No {0} not found","الرقم التسلسلي {0} غير موجود"
"Fee Schedule Program","برنامج جدول الرسوم"
"Student Batch","دفعة الطالب"
"Advanced Settings","إعدادات متقدمة"
"Min Grade","دقيقة الصف"
"Healthcare Service Unit Type","نوع وحدة خدمة الرعاية الصحية"
"Feedback Submitted","تم تسليم التعليقات"
"You have been invited to collaborate on the project: {0}","لقد وجهت الدعوة إلى التعاون في هذا المشروع: {0}"
"Parent Supplier Group","مجموعة موردي الآباء"
"Purchase Orders to Bill","أوامر الشراء إلى الفاتورة"
"Accumulated Values in Group Company","القيم المتراكمة في مجموعة الشركة"
"Block Date","تاريخ الحظر"
"You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.","يمكنك استخدام أي ترميز Bootstrap 4 صالح في هذا الحقل. سيتم عرضه على صفحة الصنف الخاص بك."
"Outward taxable supplies(other than zero rated, nil rated and exempted","اللوازم الخاضعة للضريبة إلى الخارج (بخلاف تصنيف الصفر ، لا يوجد تقييم ومعفى"
"Crop","محصول"
"Supplier Delivery Note","مذكرة تسليم المورد"
"Apply Now","التطبيق الآن"
"Type of Proof","نوع الإثبات"
"Actual Qty {0} / Waiting Qty {1}","الكمية الفعلية {0} / الكمية المنتظره {1}"
"E-commerce GSTIN","ضريبة المبيعات على التجارة الإلكترونية"
"Not Delivered","غير مورد"
"Bank Clearance Summary","ملخص التخليص البنكى"
"Create and manage daily, weekly and monthly email digests.","إنشاء وإدارة موجزات البريد الإلكتروني يومياً وأسبوعياً وشهرياً."
"This is based on transactions against this Sales Person. See timeline below for details","هذا يعتمد على العمليات المرتبطة بممثل المبيعات هذا. راجع الجدول الزمني أدناه للحصول على التفاصيل"
"Appraisal Goal","الغاية من التقييم"
"Current Amount","المبلغ الحالي"
"Buildings","المباني"
"Leaves has been granted sucessfully","تمت الموافقة على الإجازات بنجاح"
"New Invoice","فاتورة جديدة"
"Enable Attribute Filters","تمكين عوامل تصفية السمات"
"Fee Structure","هيكلية الرسوم"
"Costing Amount","أجمالي الكلفة"
"Application Fee","رسوم الإستمارة"
"Submit Salary Slip","الموافقة إيصال الرواتب"
"On Hold","في الانتظار"
"A qustion must have at least one correct options","يجب أن يحتوي qustion على خيارات صحيحة واحدة على الأقل"
"Inter Company Account","حساب الشركة المشترك"
"Import in Bulk","استيراد بكميات كبيرة"
"Address & Contacts","معلومات الاتصال والعنوان"
"Sender Name","اسم المرسل"
"Very Hyper","فرط جدا"
"Agriculture Analysis Criteria","معايير التحليل الزراعي"
"Leave Approval Notification Template","اترك قالب إعلام الموافقة"
"[Select]","[اختر ]"
"Number Of Positions","عدد المناصب"
"Blood Pressure (diastolic)","ضغط الدم (الانبساطي)"
"Sent To","يرسل الى"
"Holiday Management","إدارة العطلات"
"Make Sales Invoice","انشاء فاتورة المبيعات"
"Softwares","البرامج الالكترونية"
"Next Contact Date cannot be in the past","(تاريخ الاتصال التالي) لا يمكن أن تكون في الماضي"
"For Reference Only.","للإشارة او المرجعية فقط."
"Select Batch No","حدد الدفعة رقم"
"Invalid {0}: {1}","غير صالح {0}: {1}"
"Reference Inv","ريفيرانس إنف"
"Advance Amount","المبلغ مقدما"
"Capacity Planning","القدرة على التخطيط"
"Rounding Adjustment (Company Currency","تعديل التقريب (عملة الشركة"
"Policy number","رقم مركز الشرطه"
"'From Date' is required","من تاريخ (مطلوب)"
"Assign to Employees","تم تخصيصها للموظفين"
"Reference Number","الرقم المرجعي لل"
"New Workplace","مكان العمل الجديد"
"Retention Bonus","مكافأة الاحتفاظ"
"Material Consumption","اهلاك المواد"
"Set as Closed","على النحو مغلق"
"No Item with Barcode {0}","أي صنف مع الباركود {0}"
"Require Result Value","تتطلب قيمة النتيجة"
"Pricing Rules","قواعد التسعير"
"تظهر الشرائح في أعلى الصفحة","Show a slideshow at the top of the page"
"Tax Withholding Rate","سعر الخصم الضريبي"
"Max Amt","ماكس امت"
"Boms","قوائم المواد"
"Stores","مخازن"
"Projects Manager","مدير المشاريع"
"Delivery Time","وقت التسليم"
"Ageing Based On","العمرعلى أساس"
"Appointment cancelled","تم إلغاء الموعد"
"End of Life","نهاية الحياة"
"Travel","السفر"
"Include All Assessment Group","تشمل جميع مجموعة التقييم"
"No active or default Salary Structure found for employee {0} for the given dates","لا يوجد هيكل راتب افتراضيي نشط للموظف {0} للتواريخ المحددة"
"Allow Users","السماح للمستخدمين"
"Customer Mobile No","رقم محمول العميل"
"Calculated in days","تحسب بالأيام"
"Received By","استلمت من قبل"
"Cash Flow Mapping Template Details","تفاصيل نموذج رسم التدفق النقدي"
"Loan Management","إدارة القروض"
"تتبع الدخل والنفقات منفصل عن القطاعات المنتج أو الانقسامات.","Track separate Income and Expense for product verticals or divisions."
"Rename Tool","إعادة تسمية أداة"
"Update Cost","تحديث التكلفة"
"Item Reorder","الصنف إعادة ترتيب"
"GSTR3B-Form","GSTR3B-نموذج"
"Mode of Transport","وسيلة تنقل"
"Show Salary Slip","عرض إيصال الراتب"
"Transfer Material","نقل المواد"
"Send Payment Request","إرسال طلب الدفع"
"Any other details","أي تفاصيل أخرى"
"Origin","الأصل"
"This document is over limit by {0} {1} for item {4}. Are you making another {3} against the same {2}?","هذه الوثيقة هي على حد كتبها {0} {1} لمادة {4}. وجعل لكم آخر {3} ضد نفسه {2}؟"
"Please set recurring after saving","يرجى تحديد (تكرار) بعد الحفظ"
"Select change amount account","حساب كمية حدد التغيير"
"Price List Currency","قائمة الأسعار العملات"
"User must always select","يجب دائما مستخدم تحديد"
"Allow Negative Stock","السماح بالقيم السالبة للمخزون"
"Installation Note","ملاحظة التركيب"
"Show Warehouse-wise Stock","عرض المستودع الحكيمة"
"Clay","طين"
"Topic","موضوع"
"Cash Flow from Financing","التدفق النقدي من التمويل"
"Budget Account","حساب الميزانية"
"Verified By","التحقق من"
"Name of Organizer","اسم المنظم"
"Cannot change company's default currency, because there are existing transactions. Transactions must be cancelled to change the default currency.","لا يمكن تغيير العملة الافتراضية للشركة، لأن هناك معاملات موجودة. يجب إلغاء المعاملات لتغيير العملة الافتراضية."
"Is Income Tax Liability","هي مسؤولية ضريبة الدخل"
"Grade Description","الصف الوصف"
"Is Invoiced","غير مفوتر"
"Create Tax Template","إنشاء قالب الضريبة"
"Purchase Receipt No","لا شراء استلام"
"Earnest Money","العربون"
"Shipping Bill Number","رقم فاتورة الشحن"
"Create Salary Slip","إنشاء إيصال الرواتب"
"Traceability","التتبع"
"Actions performed","الإجراءات المنجزة"
"Section Leader","قائد قسم"
"Transport Receipt No","إيصالات النقل"
"Pass","البشري"
"Please add the account to root level Company -","الرجاء إضافة الحساب إلى شركة المستوى الجذر -"
"Source of Funds (Liabilities)","(مصدر الأموال  (الخصوم"
"Source and Target Location cannot be same","لا يمكن أن يكون المصدر و الموقع الهدف نفسه"
"Quantity in row {0} ({1}) must be same as manufactured quantity {2}","الكمية في الصف {0} ( {1} ) ويجب أن تكون نفس الكمية المصنعة {2}"
"Difference Account must be a Asset/Liability type account, since this Stock Entry is an Opening Entry","يجب أن يكون حساب الفرق حسابًا لنوع الأصول / الخصوم ، نظرًا لأن إدخال الأسهم هذا هو إدخال فتح"
"Employee","موظف"
"Fixed Deposit Number","رقم الوديعة الثابتة"
"Failure Date","تاريخ الفشل"
"Result Title Field","النتيجة عنوان الحقل"
"Call Summary","ملخص الاتصال"
"Collected Time","الوقت الذي تم جمعه"
"Employee Skills","مهارات الموظف"
"Fuel Expense","حساب الوقود"
"Sales Monthly History","التاريخ الشهري للمبيعات"
"Please set at least one row in the Taxes and Charges Table","يرجى ضبط صف واحد على الأقل في جدول الضرائب والرسوم"
"Next Due Date","موعد الاستحقاق التالي"
"Select Batch","حدد الدفعة"
"{0} {1} is fully billed","{0} {1} قدمت الفواتير بشكل كامل"
"Vital Signs","علامات حيوية"
"Payment Deductions or Loss","خصومات الدفع أو الخسارة"
"Soil Analysis Criterias","معايير تحليل التربة"
"Standard contract terms for Sales or Purchase.","شروط العقد القياسية للمبيعات أو للمشتريات ."
"Rows Removed in {0}","تمت إزالة الصفوف في {0}"
"Begin check-in before shift start time (in minutes)","ابدأ تسجيل الوصول قبل وقت بدء فترة العمل (بالدقائق)"
"Item operation","عملية الصنف"
"Group by Voucher","المجموعة بواسطة قسيمة"
"Are you sure you want to cancel this appointment?","هل تريد بالتأكيد إلغاء هذا الموعد؟"
"Hotel Room Pricing Package","غرفة فندق بريسينغ باكيج"
"Sales Pipeline","خط أنابيب المبيعات"
"Please set default account in Salary Component {0}","الرجاء تحديد حساب افتراضي في مكون الراتب {0}"
"Required On","مطلوب في"
"File to Rename","إعادة تسمية الملف"
"Please select BOM for Item in Row {0}","الرجاء تحديد قائمة المواد للصنف في الصف {0}"
"Fetch Subscription Updates","جلب تحديثات الاشتراك"
"Account {0} does not match with Company {1} in Mode of Account: {2}","الحساب {0} لا يتطابق مع الشركة {1} في طريقة الحساب: {2}"
"Specified BOM {0} does not exist for Item {1}","محدد BOM {0} غير موجود القطعة ل{1}"
"Course:","دورة:"
"Sandy Loam","ساندي لوم"
"Maintenance Schedule {0} must be cancelled before cancelling this Sales Order","يجب إلغاء الجدول الزمني للصيانة {0} قبل إلغاء طلب المبيعات"
"Student LMS Activity","نشاط الطلاب LMS"
"Applicable for Users","ينطبق على المستخدمين"
"Set Project and all Tasks to status {0}?","عيّن Project وجميع المهام إلى الحالة {0}؟"
"Set Advances and Allocate (FIFO)","تعيين السلف والتخصيص (FIFO)"
"No Work Orders created","لم يتم إنشاء أوامر العمل"
"Salary Slip of employee {0} already created for this period","إيصال الراتب للموظف {0} تم إنشاؤه لهذه الفترة"
"Pharmaceutical","الأدوية"
"You can only submit Leave Encashment for a valid encashment amount","يمكنك فقط إرسال ترك الإلغاء لمبلغ سداد صالح"
"Items by","الأصناف من قبل"
"Cost of Purchased Items","تكلفة الأصناف التي تم شراؤها"
"Employee Separation Template","قالب فصل الموظفين"
"Sales Order Required","طلب المبيعات مطلوبة"
"Become a Seller","كن بائعًا"
"Procurement Tracker","المقتفي المشتريات"
"Credit To","دائن الى"
"ITC Reversed","عكس مركز التجارة الدولية"
"Plaid authentication error","خطأ مصادقة منقوشة"
"Active Leads / Customers","العملاء المحتملين النشطاء / عملاء"
"Leave blank to use the standard Delivery Note format","اتركه فارغًا لاستخدام تنسيق &quot"
"Fiscal Year End Date should be one year after Fiscal Year Start Date","يجب أن يكون تاريخ انتهاء السنة المالية بعد سنة واحدة من تاريخ بدء السنة المالية"
"Post Graduate","إجازة عاليه"
"Agenda","جدول أعمال"
"Maintenance Schedule Detail","تفاصيل جدول الصيانة"
"Warn for new Purchase Orders","تحذير لأوامر الشراء الجديدة"
"Reading 9","قراءة 9"
"Connect your Exotel Account to ERPNext and track call logs","قم بتوصيل حسابك في Exotel بـ ERPNext وتتبع سجلات المكالمات"
"Is Frozen","مجمدة"
"Processed Files","الملفات المعالجة"
"Group node warehouse is not allowed to select for transactions","لا يسمح مستودع عقدة مجموعة لتحديد للمعاملات"
"Accounting Dimension {0} is required for 'Balance Sheet' account {1}.","البعد المحاسبي {0} مطلوب لحساب &quot"
"Buying Settings","إعدادات الشراء"
"BOM No. for a Finished Good Item","رقم فاتورة الموارد لغرض جيد"
"Attendance To Date","الحضور إلى تاريخ"
"No Quote","لا اقتباس"
"Post Title Key","عنوان العنوان الرئيسي"
"Issue Split From","قضية الانقسام من"
"For Job Card","لبطاقة الوظيفة"
"Raised By","التي أثارها"
"Prescriptions","وصفات"
"Payment Account","حساب الدفع"
"Please specify Company to proceed","يرجى تحديد الشركة للمتابعة"
"Net Change in Accounts Receivable","صافي التغير في الحسابات المدينة"
"Compensatory Off","تعويض"
"Accepted","مقبول"
"Sales Invoices Summary","ملخص فواتير المبيعات"
"To Party Name","إلى اسم الجهة"
"Organization","المنظمة"
"BOM Update Tool","أداة تحديث قائمة المواد"
"Group by Party","تجميع بحسب الجهة"
"Student Group Name","اسم المجموعة الطلابية"
"Show exploded view","عرض عرض انفجرت"
"Creating Fees","إنشاء الرسوم"
"Please make sure you really want to delete all the transactions for this company. Your master data will remain as it is. This action cannot be undone.","يرجى التأكد من أنك تريد حقا حذف جميع المعاملات لهذه الشركة. ستبقى بياناتك الرئيسية (الماستر) كما هيا. لا يمكن التراجع عن هذا الإجراء."
"Search Results","نتائج البحث"
"Number of Columns","عدد الأعمدة"
"Room Number","رقم القاعة"
"Price not found for item {0} in price list {1}","لم يتم العثور على السعر للصنف {0} في قائمة الأسعار {1}"
"Requestor","الطالب"
"Invalid reference {0} {1}","مرجع غير صالح {0} {1}"
"Rules for applying different promotional schemes.","قواعد تطبيق المخططات الترويجية المختلفة."
"Shipping Rule Label","ملصق قاعدة الشحن"
"Payroll Entry","إدخال كشف المرتبات"
"View Fees Records","عرض سجلات الرسوم"
"User Forum","المنتدى المستعمل"
"Raw Materials cannot be blank.","لا يمكن ترك المواد الخام فارغة."
"Row #{0} (Payment Table): Amount must be negative","الصف # {0} (جدول الدفع): يجب أن يكون المبلغ سلبيًا"
"Could not update stock, invoice contains drop shipping item.","تعذر تحديث المخزون، الفاتورة تحتوي علي صنف مبعد الشحن."
"Fulfilment Status","حالة الوفاء"
"Lab Test Sample","عينة اختبار المختبر"
"Allow Rename Attribute Value","السماح بميزة إعادة التسمية"
"Quick Journal Entry","قيد دفتر يومية سريع"
"Future Payment Amount","مبلغ الدفع المستقبلي"
"You can not change rate if BOM mentioned agianst any item","لا يمكنك تغيير السعر اذا جعلت قائمة المواد مقابل أي صنف"
"Invoice Series Prefix","بادئة سلسلة الفاتورة"
"Previous Work Experience","خبرة العمل السابق"
"Update Account Number / Name","تحديث رقم الحساب / الاسم"
"Assign Salary Structure","تعيين هيكل الرواتب"
"Response Key List","قائمة مفتاح الاستجابة"
"For Quantity","للكمية"
"Please enter Planned Qty for Item {0} at row {1}","الرجاء إدخال الكمية المخططة للصنف {0} في الصف {1}"
"Result Preview Field","حقل معاينة النتيجة"
"{0} items found.","تم العثور على {0} صنف."
"Packing Unit","وحدة التعبئة"
"{0} {1} is not submitted","{0} {1} لم يتم تقديمه"
"Trialling","تجربته"
"Deferred Revenue","الإيرادات المؤجلة"
"GL Account","حساب غوغل"
"Cash Account will used for Sales Invoice creation","سيستخدم الحساب النقدي لإنشاء فاتورة المبيعات"
"Exemption Sub Category","الإعفاء الفئة الفرعية"
"Membership Expiry Date","تاريخ انتهاء العضوية"
"{0} must be negative in return document","{0} يجب أن يكون سالبة في وثيقة الارجاع"
"Submission Date","تاريخ التقديم"
"Minutes to First Response for Issues","دقائق إلى الاستجابة الأولى لقضايا"
"Terms and Conditions1","1 الشروط والأحكام"
"The name of the institute for which you are setting up this system.","اسم المعهد الذي كنت تقوم بإعداد هذا النظام."
"Accounting entry frozen up to this date, nobody can do / modify entry except role specified below.","القيود المحاسبية مجمدة حتى هذا التاريخ،  لا أحد يستطيع أن ينشئ أو يعدل القيود باستثناء الدور المحدد أدناه."
"Latest price updated in all BOMs","أحدث سعر تحديثها في جميع قوائم المواد"
"Project Status","حالة المشروع"
"Check this to disallow fractions. (for Nos)","حدد هذا الخيار لعدم السماح بالكسور مع الارقام (for Nos)"
"Naming Series (for Student Applicant)","تسمية تسلسلية (الطالب مقدم الطلب)"
"UOM Conversion factor ({0} -&gt","{1}) not found for item: {2}"
"Bonus Payment Date cannot be a past date","لا يمكن أن يكون تاريخ الدفع المكافأ تاريخًا سابقًا"
"Copy of Invitation/Announcement","نسخة من الدعوة / الإعلان"
"Practitioner Service Unit Schedule","جدول وحدة خدمة الممارس"
"Transporter Name","نقل اسم"
"Authorized Value","القيمة المرخص بها"
"Show Operations","مشاهدة العمليات"
"Minutes to First Response for Opportunity","دقائق إلى الاستجابة الأولى للفرص"
"Total Absent","إجمالي الغياب"
"Item or Warehouse for row {0} does not match Material Request","الصنف أو المستودع للصف {0} لا يطابق طلب المواد"
"Payable Amount","المبلغ المستحق"
"Unit of Measure","وحدة القياس"
"Year End Date","تاريخ نهاية العام"
"Task Depends On","المهمة تعتمد على"
"Opportunity","فرصة"
"Option","اختيار"
"You can't create accounting entries in the closed accounting period {0}","لا يمكنك تكوين ادخالات محاسبة في فترة المحاسبة المغلقة {0}"
"Default Workstation","محطة العمل الافتراضية"
"Deductions or Loss","الخصومات أو الخسارة"
"{0} {1} is closed","{0} {1} مغلقة"
"How frequently?","عدد المرات؟"
"Total Collected: {0}","المجموع الإجمالي: {0}"
"Get Current Stock","الحصول على المخزون الحالي"
"ineligible","غير مؤهل"
"Tree of Bill of Materials","شجرة فواتير المواد"
"Exploded Items","الأصناف المتفجرة"
"Joining Date","تاريخ الانضمام"
"TDS Computation Summary","ملخص حساب TDS"
"Current State","الوضع الحالي"
"Mark Present","حدد كحضور"
"From Shareholder","من المساهم"
"Greater Than Amount","أكبر من المبلغ"
"Drug","الادوية"
"Maintenance start date can not be before delivery date for Serial No {0}","لا يمكن أن يكون تاريخ بدء الصيانة قبل تاريخ التسليم لرقم التسلسلي {0}"
"Actual End Date","تاريخ الإنتهاء الفعلي"
"Is Finance Cost Adjustment","هو تعديل تكاليف التمويل"
"Operating Cost (Company Currency)","تكاليف التشغيل (عملة الشركة)"
"Applicable To (Role)","قابلة للتطبيق على (الدور الوظيفي)"
"Pending Leaves","الإجازات المعلقة"
"Replace BOM","استبدال بوم"
"Code {0} already exist","الرمز {0} موجود بالفعل"
"Procedures","الإجراءات"
"Sales orders are not available for production","طلبات المبيعات غير متوفرة للإنتاج"
"Purpose","غرض"
"Fixed Asset Depreciation Settings","إعدادات اهلاك الأصول الثابتة"
"Will also apply for variants unless overrridden","سوف تطبق أيضا على المتغيرات الا اذا تم التغير فوقها"
"Advances","الدفعات المقدمة"
"Hiring Settings","إعدادات التوظيف"
"Manufacture against Material Request","تصنيع ضد طلب مواد"
"Assessment Group:","مجموعة التقييم:"
"Request for","طلب ل"
"Approving User cannot be same as user the rule is Applicable To","المستخدم الذي لدية صلاحية الموافقة لايمكن أن يكون نفس المستخدم الذي تنطبق عليه القاعدة"
"Basic Rate (as per Stock UOM)","التسعير الاساسي استنادأ لوحدة قياس المخزون"
"No of Requested SMS","عدد الرسائل النصية القصيرة (SMS) المطلوبة"
"Leave Without Pay does not match with approved Leave Application records","الإجازة بدون راتب لا تتطابق مع سجلات (طلب الإجازة) الموافق عليها"
"Next Steps","الخطوات القادمة"
"Saved Items","الأصناف المحفوظة"
"Domestic","منزلي"
"Please supply the specified items at the best possible rates","يرجى تزويدنا بالأصناف المحددة بأفضل الأسعار الممكنة"
"Employee Transfer cannot be submitted before Transfer Date","لا يمكن تقديم نقل الموظف قبل تاريخ النقل"
"USD","دولار أمريكي"
"Remaining Balance","الرصيد المتبقي"
"Auto close Opportunity after 15 days","اغلاق تلقائي للفرص بعد 15 يوما"
"Purchase Orders are not allowed for {0} due to a scorecard standing of {1}.","لا يسمح بأوامر الشراء {0} بسبب وضع بطاقة النقاط {1}."
"Barcode {0} is not a valid {1} code","الباركود {0} ليس رمز {1} صالحا"
"End Year","نهاية السنة"
"Quot/Lead %","مناقصة / عميل محتمل٪"
"Contract End Date must be greater than Date of Joining","يجب أن يكون تاريخ انتهاء العقد بعد تاريخ الالتحاق بالعمل"
"Driver","سائق"
"Nutrition Values","قيم التغذية"
"Is billable","هو قابل للفوترة"
"A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.","موزع طرف ثالث / وكيل / دلّال / شريك / بائع التجزئة الذي يبيع منتجات الشركات مقابل عمولة."
"{0} against Purchase Order {1}","{0} مقابل أمر الشراء {1}"
"Patient Demographics","الخصائص الديمغرافية للمرضى"
"Actual Start Date (via Time Sheet)","تاريخ البدء الفعلي (عبر ورقة الوقت)"
"This is an example website auto-generated from ERPNext","هذا مثال موقع ولدت لصناعة السيارات من ERPNext"
"Ageing Range 1","مدى العمر 1"
"Enable Shopify","تمكين Shopify"
"Total advance amount cannot be greater than total claimed amount","لا يمكن أن يكون إجمالي المبلغ المدفوع أكبر من المبلغ الإجمالي المطالب به"
"Standard tax template that can be applied to all Purchase Transactions. This template can contain list of tax heads and also other expense heads like ""Shipping"", ""Insurance"", ""Handling"" etc.

#### Note

The tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.

#### Description of Columns

1. Calculation Type:
    - This can be on **Net Total** (that is the sum of basic amount).
    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.
    - **Actual** (as mentioned).
2. Account Head: The Account ledger under which this tax will be booked
3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.
4. Description: Description of the tax (that will be printed in invoices / quotes).
5. Rate: Tax rate.
6. Amount: Tax amount.
7. Total: Cumulative total to this point.
8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).
9. Consider Tax or Charge for: In this section you can specify if the tax / charge is only for valuation (not a part of total) or only for total (does not add value to the item) or for both.
10. Add or Deduct: Whether you want to add or deduct the tax.","قالب الضرائب القياسية التي يمكن تطبيقها على جميع المعاملات شراء. يمكن أن يحتوي هذا القالب قائمة رؤساء الضريبية، وكذلك غيرهم من رؤساء حساب مثل ""شحن""، ""التأمين""، ""معالجة""، وغيرها

 #### ملاحظة

 قيمة الضريبة التي تحددها هنا سوف تكون هي قيمة الضريبة الموحدة لجميع **الأصناف**. إذا كانت هناك **أصناف** لها أسعار مختلفة، فيجب أن تضاف في جدول **ضرائب الصنف**  في سجل **الصنف** الرئيسي.

 #### وصف الأعمدة

 1. نوع الحساب:
 - هذا يمكن أن يكون على **الإجمالي الصافي** (وهو مجموع المبلغ الأساسي).
 - **مجموع الصف السابق / المبلغ** (للضرائب أو الرسوم التراكيمية). إذا قمت بتحديد هذا الخيار، سيتم تطبيق الضريبة كنسبة مئوية من الصف السابق (في جدول الضرائب) كمية أو المجموع.
 - ** ** الفعلية (كما ذكر).
 2. أساس الحساب: حساب دفتر الأستاذ والذي بموجبه سيتم حجز هذه الضريبة
 3. مركز التكلفة: إذا كانت الضرائب / الرسوم هي دخل (مثل الشحن) أو مصروف فيجب أن يتم أن تسجل مقابل مركز تكلفة.
 4. الوصف: وصف الضريبية (التي ستتم طباعتها في الفواتير / عروض الأسعار).
 5. القيمة: قيمة الضريبة.
 6. المبلغ: مبلغ الضرائب.
 7. المجموع: المجموع التراكمي حتى هذه النقطة.
 8. أدخل الصف: إذا كان الأساس هو ""إجمالي الصف السابق"" يمكنك تحديد رقم الصف الذي سيتم اتخاذه كأساس لهذا الحساب (الافتراضي هو الصف السابق).
 9. النظر في ضريبة أو رسم لـ: في هذا القسم يمكنك تحديد ما إذا كانت الضرائب / الرسوم هي فقط للتقييم (وليست جزءا من المجموع) أو فقط للمجموع (لا تضيف قيمة إلى الصنف) أو لكليهما.
 10. إضافة أو اقتطاع: إذا كنت ترغب في إضافة أو خصم الضرائب."
"Homepage","الصفحة الرئيسية"
"Grant Application Details","تفاصيل طلب المنح"
"Employee Separation","فصل الموظف"
"Original Item","الصنف الأصلي"
"Doc Date","وثيقة التاريخ"
"Fee Records Created - {0}","سجلات الرسوم  تم انشاؤها - {0}"
"Asset Category Account","حساب فئة الأصول"
"The value {0} is already assigned to an exisiting Item {2}.","تم تعيين القيمة {0} بالفعل إلى صنف موجود {2}."
"Row #{0} (Payment Table): Amount must be positive","الصف رقم {0} (جدول الدفع): يجب أن يكون المبلغ موجبا"
"Cannot produce more Item {0} than Sales Order quantity {1}","لا يمكن أن تنتج المزيد من الصنف {0} اكثر من كمية طلب المبيعات {1}"
"Nothing is included in gross","لا شيء مدرج في الإجمالي"
"e-Way Bill already exists for this document","توجد فاتورة إلكترونية بالفعل لهذه الوثيقة"
"Select Attribute Values","حدد قيم السمات"
"Reason For Issuing document","سبب إصدار المستند"
"Stock Entry {0} is not submitted","الحركة المخزنية {0} غير مسجلة"
"Bank / Cash Account","البنك حساب / النقدية"
"Next Contact By cannot be same as the Lead Email Address","(جهة الاتصال التالية) لا يمكن أن يكون نفس (عنوان البريد الإلكتروني للعميل المحتمل)"
"Billing City","مدينة الفوترة"
"Applicable if the company is an Individual or a Proprietorship","قابل للتطبيق إذا كانت الشركة فردية أو مملوكة"
"Log Type is required for check-ins falling in the shift: {0}.","نوع السجل مطلوب لتسجيلات الوقوع في فترة العمل: {0}."
"Manual","يدوي"
"Is Master Data Processed","هل تمت معالجة البيانات الرئيسية"
"Salary Component Account","حساب مكون الراتب"
"Hide Currency Symbol","إخفاء رمز العملة"
"Donor information.","معلومات الجهات المانحة."
"e.g. Bank, Cash, Credit Card","على سبيل المثال، مصرف، نقدا، بطاقة الائتمان"
"Normal resting blood pressure in an adult is approximately 120 mmHg systolic, and 80 mmHg diastolic, abbreviated ""120/80 mmHg""","ضغط الدم الطبيعي يستريح في الكبار هو ما يقرب من 120 ملم زئبقي الانقباضي، و 80 ملم زئبق الانبساطي، مختصر &quot"
"Credit Note","ملاحظة الائتمان"
"Finished Good Item Code","انتهى رمز السلعة جيدة"
"Quality","الجودة"
"Ignore Employee Time Overlap","تجاهل تداخل وقت الموظف"
"Service Address","عنوان الخدمة"
"Import Master Data","استيراد البيانات الرئيسية"
"Calibration","معايرة"
"{0} is a company holiday","{0} عطلة للشركة"
"Billable Hours","ساعات للفوترة"
"Leave Status Notification","ترك إخطار الحالة"
"Procedure Prescription","وصفة الإجراء"
"Furnitures and Fixtures","أثاث وتركيبات"
"Travel Type","نوع السفر"
"Manufacture","التصنيع"
"Setup Company","شركة الإعداد"
"Lab Test Report","تقرير اختبار المختبر"
"Employee Benefit Application","تطبيق مزايا الموظف"
"Additional Salary Component Exists.","مكون الراتب الإضافي موجود."
"Unregistered","غير مسجل"
"Application Date","تاريخ التقديم"
"Amount based on formula","القيمة بناءا على الصيغة"
"Currency and Price List","العملة وقائمة الأسعار"
"Create Maintenance Visit","إنشاء زيارة صيانة"
